ilce_adi;mahalle_adi;mahalle_koy_uavt;cok_agir_hasarli_bina_sayisi;agir_hasarli_bina_sayisi;orta_hasarli_bina_sayisi;hafif_hasarli_bina_sayisi;can_kaybi_sayisi;agir_yarali_sayisi;hastanede_tedavi_sayisi;hafif_yarali_sayisi;dogalgaz_boru_hasari;icme_suyu_boru_hasari;atik_su_boru_hasari;gecici_barinma
AVCILAR;F›RUZK÷Y;40152;19;150;676;1005;18;7;61;135;2;2;7;2073
AVCILAR;G‹M‹ﬁPALA;40151;27;115;446;750;63;34;184;353;2;2;6;3833
AVCILAR;MERKEZ;40145;17;64;253;471;44;23;124;241;1;1;4;2751
AVCILAR;MUSTAFA KEMALPAﬁA;40150;21;91;416;821;47;25;134;274;1;2;4;3863
AVCILAR;TAHTAKALE;40154;5;52;321;658;3;1;26;76;1;1;1;2247
AVCILAR;‹N›VERS›TE;40149;12;64;276;480;19;9;55;113;1;1;4;1617
AVCILAR;YEﬁ›LKENT;40153;36;313;1565;2452;43;20;146;338;4;4;5;5308
BA–CILAR;100. YIL;40176;6;22;186;665;7;3;25;61;0;0;1;1233
BA–CILAR;BA–LAR;40155;36;86;315;455;33;19;90;165;1;1;3;3267
BA–CILAR;BARBAROS;40157;36;74;273;453;50;28;133;242;0;1;2;2646
BA–CILAR;«INAR;40163;45;86;360;720;82;45;215;390;1;1;2;2548
BA–CILAR;DEM›RKAPI;40171;43;108;509;1013;71;39;192;368;1;1;3;3443
BA–CILAR;EVREN;40169;54;144;657;1233;70;38;190;367;1;2;4;3236
BA–CILAR;FAT›H;40172;25;62;334;808;40;21;107;208;1;1;2;2332
BA–CILAR;FEVZ› «AKMAK;40173;27;64;311;673;44;24;118;224;1;1;2;2593
BA–CILAR;G÷ZTEPE;40175;19;53;287;683;25;15;71;144;1;1;2;1930
BA–CILAR;G‹NEﬁL›;40168;47;114;507;961;71;39;190;358;1;1;3;4189
BA–CILAR;H‹RR›YET;40156;49;99;367;570;65;35;171;307;1;1;2;2802
BA–CILAR;›N÷N‹;40159;46;90;326;525;64;38;169;304;0;1;2;2718
BA–CILAR;KAZIM KARABEK›R;40158;46;94;360;607;66;38;174;316;1;1;2;3061
BA–CILAR;KEMALPAﬁA;40174;20;50;284;682;30;16;81;160;0;0;1;2045
BA–CILAR;K›RAZLI;40166;51;119;501;902;76;42;203;380;1;1;3;4099
BA–CILAR;MAHMUTBEY;40170;47;144;694;1236;39;23;110;209;1;2;5;1740
BA–CILAR;MERKEZ;40162;26;52;221;434;52;28;137;251;1;0;2;2323
BA–CILAR;SANCAKTEPE;40164;23;49;215;419;35;19;92;171;0;1;2;1620
BA–CILAR;YAVUZ SEL›M;40165;30;69;298;568;47;26;125;234;1;1;2;2432
BA–CILAR;YEN›G‹N;40161;24;43;186;373;54;29;138;250;0;0;2;2068
BA–CILAR;YEN›MAHALLE;40167;29;73;332;634;48;26;128;242;1;1;2;2821
BA–CILAR;YILDIZTEPE;40160;67;130;478;783;110;61;289;518;1;1;3;4367
BAH«EL›EVLER;BAH«EL›EVLER;40177;81;147;488;752;185;99;480;838;2;3;6;6193
BAH«EL›EVLER;CUMHUR›YET;40181;47;87;362;680;97;53;254;459;1;1;3;3989
BAH«EL›EVLER;«OBAN«EﬁME;40184;62;125;469;751;83;44;217;393;2;2;4;3437
BAH«EL›EVLER;FEVZ› «AKMAK;40185;37;71;276;470;70;36;180;326;1;1;2;2848
BAH«EL›EVLER;H‹RR›YET;40187;56;105;432;757;128;69;335;601;1;1;4;4906
BAH«EL›EVLER;KOCAS›NAN MERKEZ;40182;71;151;611;1088;148;83;394;723;2;2;6;6969
BAH«EL›EVLER;S›YAVUﬁPAﬁA;40179;88;143;521;922;220;117;567;989;1;2;4;6781
BAH«EL›EVLER;SO–ANLI;40180;74;126;537;1059;189;101;491;875;1;2;4;6850
BAH«EL›EVLER;ﬁ›R›NEVLER;40178;105;171;592;945;230;122;592;1028;2;2;6;6563
BAH«EL›EVLER;YEN›BOSNA MERKEZ;40183;74;162;553;796;71;41;193;352;2;3;7;3588
BAH«EL›EVLER;ZAFER;40186;101;202;827;1466;212;114;558;1015;2;2;6;9075
BAKIRK÷Y;ATAK÷Y 1. KISIM;40202;6;10;24;32;12;6;31;52;1;0;1;204
BAKIRK÷Y;ATAK÷Y 2-5-6. KISIM;40194;16;27;61;77;68;36;176;295;1;1;2;1760
BAKIRK÷Y;ATAK÷Y 3-4-11. KISIM;40201;18;30;75;89;43;23;110;185;1;1;2;1131
BAKIRK÷Y;ATAK÷Y 7-8-9-10. KISIM;40196;16;38;126;199;63;33;165;291;1;1;4;2371
BAKIRK÷Y;BASINK÷Y;40200;62;93;200;167;47;35;123;208;1;1;4;1114
BAKIRK÷Y;CEV›ZL›K;40192;39;63;188;271;29;16;74;127;0;1;1;663
BAKIRK÷Y;KARTALTEPE;40197;82;132;393;567;166;89;424;725;1;2;4;4460
BAKIRK÷Y;OSMAN›YE;40188;44;83;259;349;87;47;225;391;1;1;3;2766
BAKIRK÷Y;SAKIZA–ACI;40191;34;50;131;176;41;23;104;176;0;0;1;1092
BAKIRK÷Y;ﬁENL›KK÷Y;40199;110;234;593;488;122;68;324;561;3;3;8;4483
BAKIRK÷Y;YEN›MAHALLE;40190;34;50;132;186;42;23;108;182;0;0;1;894
BAKIRK÷Y;YEﬁ›LK÷Y;40189;201;310;696;621;161;92;413;695;3;4;11;3776
BAKIRK÷Y;YEﬁ›LYURT;40195;25;38;95;99;35;19;91;154;1;1;2;1025
BAKIRK÷Y;ZEYT›NL›K;40193;30;49;152;228;27;15;70;121;0;0;1;678
BAKIRK÷Y;ZUHURATBABA;40198;65;99;269;390;103;56;263;447;1;1;3;2493
BAﬁAKﬁEH›R;ALTINﬁEH›R;40598;10;42;199;374;8;6;28;61;0;0;1;945
BAﬁAKﬁEH›R;BAH«EﬁEH›R 1. KISIM;40871;5;44;278;549;1;0;11;33;0;1;2;1151
BAﬁAKﬁEH›R;BAH«EﬁEH›R 2. KISIM;40872;11;57;311;738;16;7;53;115;1;2;2;1613
BAﬁAKﬁEH›R;G‹VERC›NTEPE;40597;26;115;573;1173;21;16;80;183;1;1;3;3188
BAﬁAKﬁEH›R;KAYABAﬁI;40583;4;18;91;261;2;1;9;27;1;1;1;1580
BAﬁAKﬁEH›R;ﬁAH›NTEPE;40584;29;128;615;1197;11;8;54;125;1;1;2;2380
BAﬁAKﬁEH›R;Z›YA G÷KALP;40585;27;153;787;1523;10;7;39;84;1;2;6;965
BAYRAMPAﬁA;ALTINTEPS›;40207;68;135;483;826;60;37;161;291;1;1;2;2839
BAYRAMPAﬁA;CEVATPAﬁA;40203;18;43;175;384;18;12;51;98;0;0;1;1214
BAYRAMPAﬁA;›SMET PAﬁA;40209;50;86;260;442;41;28;108;191;0;0;1;1510
BAYRAMPAﬁA;KARTALTEPE;40211;68;137;483;1025;67;45;180;331;1;1;2;3056
BAYRAMPAﬁA;KOCATEPE;40212;26;55;233;468;30;17;82;154;1;1;2;1653
BAYRAMPAﬁA;MURATPAﬁA;40213;116;202;589;1008;93;63;245;435;1;1;2;3394
BAYRAMPAﬁA;ORTAMAHALLE;40204;57;107;334;533;40;27;106;189;0;1;1;1588
BAYRAMPAﬁA;TERAZ›DERE;40206;52;98;309;530;34;24;93;167;0;1;2;1509
BAYRAMPAﬁA;VATAN;40205;36;72;229;366;22;16;60;108;0;0;1;1053
BAYRAMPAﬁA;YEN›DO–AN;40208;57;104;345;582;46;29;122;217;0;1;2;1765
BAYRAMPAﬁA;YILDIRIM;40210;66;143;619;1251;69;42;186;348;1;1;3;3483
BEﬁ›KTAﬁ;ABBASA–A;40219;2;6;31;111;1;1;4;9;0;0;0;136
BEﬁ›KTAﬁ;AKAT;40234;3;11;73;220;1;1;5;14;0;0;1;329
BEﬁ›KTAﬁ;C›HANN‹MA;40217;3;7;35;110;2;1;5;10;0;0;0;119
BEﬁ›KTAﬁ;D›K›L›TAﬁ;40221;2;4;25;135;2;1;7;16;0;0;0;207
BEﬁ›KTAﬁ;GAYRETTEPE;40222;1;3;17;93;1;0;6;13;0;0;0;178
BEﬁ›KTAﬁ;MEC›D›YE;40224;11;32;127;293;6;4;17;38;0;0;0;525
BEﬁ›KTAﬁ;MURAD›YE;40216;1;2;12;66;1;0;3;6;0;0;0;69
BEﬁ›KTAﬁ;ORTAK÷Y;40225;7;20;96;239;2;2;9;20;0;0;1;366
BEﬁ›KTAﬁ;S›NANPAﬁA;40215;8;18;71;169;4;2;10;18;0;0;0;147
BEﬁ›KTAﬁ;T‹RKAL›;40218;6;14;62;190;4;2;10;21;0;0;0;333
BEYKOZ;«AMLIBAH«E;40253;10;26;122;224;4;3;14;27;0;0;1;356
BEYKOZ;«UBUKLU;40241;9;34;185;495;3;3;13;33;1;1;1;483
BEYKOZ;G÷ZTEPE;40246;4;15;90;209;1;0;5;12;0;0;1;295
BEYKOZ;G‹M‹ﬁSUYU;40237;9;34;176;469;1;1;8;21;0;1;1;357
BEYKOZ;›NC›RK÷Y;40238;5;20;149;416;1;1;5;15;0;0;1;368
BEYKOZ;KAVACIK;40247;7;23;134;381;2;1;13;31;0;1;1;545
BEYKOZ;ORTA«EﬁME;40254;4;13;83;202;2;1;5;11;0;0;0;196
BEYKOZ;TOKATK÷Y;40255;7;23;137;339;3;2;9;19;0;0;0;324
BEYKOZ;YALIK÷Y;40252;7;18;83;190;2;2;7;15;0;0;0;165
BEYKOZ;YEN› MAHALLE;40245;13;55;290;679;3;1;15;43;1;0;1;656
BEYL›KD‹Z‹;ADNAN KAHVEC›;40869;27;83;292;624;106;56;285;523;2;5;8;6195
BEYL›KD‹Z‹;BARIﬁ;40875;12;39;126;306;84;44;222;394;1;2;5;3284
BEYL›KD‹Z‹;B‹Y‹KﬁEH›R;40877;3;10;30;89;25;13;65;115;0;0;1;1076
BEYL›KD‹Z‹;CUMHUR›YET;40874;6;14;40;140;36;19;95;168;1;1;2;1051
BEYL›KD‹Z‹;DEREA–ZI;40870;66;203;594;619;24;10;80;159;4;7;14;1785
BEYL›KD‹Z‹;G‹RPINAR;40867;39;126;397;450;37;20;104;191;2;2;5;2400
BEYL›KD‹Z‹;KAVAKLI;40873;40;117;369;524;50;27;147;271;3;5;13;2914
BEYL›KD‹Z‹;MARMARA;40893;25;80;241;343;56;28;152;271;3;3;7;2506
BEYL›KD‹Z‹;SAH›L;40876;25;65;171;161;12;6;37;67;1;2;4;684
BEYL›KD‹Z‹;YAKUPLU;40894;78;213;744;1075;97;53;269;496;4;5;13;4775
BEYO–LU;BEDRETT›N;40300;3;7;26;63;1;0;2;5;0;0;0;225
BEYO–LU;BOSTAN;40291;11;23;76;142;7;6;20;37;0;0;0;198
BEYO–LU;B‹LB‹L;40292;4;14;64;172;1;1;4;9;0;0;0;138
BEYO–LU;CAM››KEB›R;40301;28;46;126;195;14;9;34;62;0;1;1;182
BEYO–LU;«ATMA MESC›T;40283;2;6;25;67;1;1;3;5;0;0;0;169
BEYO–LU;«UKUR;40293;3;8;32;97;1;1;3;7;0;0;0;59
BEYO–LU;FET›HTEPE;40262;8;26;148;387;6;5;19;41;0;0;0;75
BEYO–LU;F›RUZA–A;40276;3;9;39;128;1;1;4;8;0;0;0;82
BEYO–LU;HACIAHMET;40280;16;38;133;292;10;8;28;54;0;0;0;239
BEYO–LU;HACIM›M›;40285;17;22;57;102;2;1;5;8;0;0;0;32
BEYO–LU;HALICIO–LU;40304;11;21;80;175;12;7;31;56;0;0;0;1821
BEYO–LU;›ST›KLAL;40279;29;66;200;315;10;9;27;50;0;0;1;45
BEYO–LU;KADI MEHMET EFEND›;40267;7;13;53;137;7;4;19;35;0;0;0;61
BEYO–LU;KALYONCU KULLU–U;40270;4;10;40;107;2;2;6;12;0;0;0;78
BEYO–LU;KAPTANPAﬁA;40264;10;28;146;352;12;7;32;64;0;0;1;477
BEYO–LU;KE«EC› P›R›;40302;18;39;164;361;10;7;29;55;1;1;1;118
BEYO–LU;KULAKSIZ;40266;12;21;74;148;12;8;32;58;0;0;0;637
BEYO–LU;K‹«‹K P›YALE;40268;16;29;97;179;11;8;29;53;0;0;1;199
BEYO–LU;÷MER AVN›;40294;4;7;29;91;1;0;5;9;0;0;0;91
BEYO–LU;÷RNEKTEPE;40305;22;45;166;311;15;11;40;75;1;1;1;87
BEYO–LU;P›R›PAﬁA;40303;26;55;208;406;21;14;57;106;0;1;1;455
BEYO–LU;P›YALEPAﬁA;40263;9;26;168;490;9;6;26;54;1;0;1;185
BEYO–LU;P‹RTELAﬁ HASAN EFEND›;40295;4;8;31;82;1;0;4;7;0;0;0;293
BEYO–LU;SURUR› MEHMET EFEND›;40289;15;28;84;140;9;7;24;42;0;0;0;114
BEYO–LU;S‹TL‹CE;40306;22;39;123;226;21;13;55;98;0;1;1;992
BEYO–LU;TOMTOM;40287;2;7;31;108;1;1;3;5;0;0;0;229
BEYO–LU;YAHYA KAHYA;40290;20;33;92;131;12;8;31;53;0;0;1;646
BEYO–LU;YEN›ﬁEH›R;40265;5;14;60;159;3;2;9;17;0;0;0;560
B‹Y‹K«EKMECE;19.May;40850;13;36;139;208;13;7;35;67;1;1;2;818
B‹Y‹K«EKMECE;AHMED›YE;40891;5;16;60;84;1;0;3;7;0;0;0;117
B‹Y‹K«EKMECE;ALKENT 2000;40844;12;57;255;386;1;0;6;12;1;1;1;406
B‹Y‹K«EKMECE;ATAT‹RK;40845;24;75;293;410;28;14;76;145;1;1;2;1933
B‹Y‹K«EKMECE;CUMHUR›YET;40846;11;48;189;261;9;4;31;62;1;1;2;631
B‹Y‹K«EKMECE;«AKMAKLI;99334;9;27;96;139;7;5;22;41;0;0;0;430
B‹Y‹K«EKMECE;D›ZDAR›YE;40847;22;43;137;185;20;12;53;95;0;0;1;818
B‹Y‹K«EKMECE;EK›NOBA;40886;8;29;115;183;14;7;40;77;1;1;2;1061
B‹Y‹K«EKMECE;FAT›H;40848;29;80;306;422;31;16;88;166;1;1;3;1920
B‹Y‹K«EKMECE;G‹ZELCE;40883;41;174;635;734;6;2;30;65;2;3;3;1076
B‹Y‹K«EKMECE;H‹RR›YET;40889;28;92;375;535;22;14;68;139;1;2;4;1902
B‹Y‹K«EKMECE;KUMBURGAZ;40884;20;81;328;444;3;1;17;39;1;2;2;801
B‹Y‹K«EKMECE;M›MAR S›NAN MERKEZ;40887;42;98;324;412;21;13;61;109;1;1;3;967
B‹Y‹K«EKMECE;M›MAROBA;140376;10;35;143;265;22;12;63;117;1;1;2;1453
B‹Y‹K«EKMECE;MURAT «EﬁME;40888;15;61;246;351;15;7;49;98;1;2;4;1423
B‹Y‹K«EKMECE;PINARTEPE;40868;22;85;326;465;25;11;75;148;2;3;4;1849
B‹Y‹K«EKMECE;S›NANOBA;140374;20;78;273;349;22;11;62;116;1;1;2;1681
B‹Y‹K«EKMECE;T‹RKOBA;40892;23;115;521;740;3;2;17;55;2;1;6;1216
B‹Y‹K«EKMECE;ULUS;40890;33;93;361;472;25;16;71;135;1;1;3;1732
«EKMEK÷Y;÷MERL›;40758;3;14;107;281;1;0;0;2;2;2;2;142
ESENLER;B›RL›K;40348;17;41;228;567;23;13;63;124;0;0;1;233
ESENLER;«›FTE HAVUZLAR;40340;12;23;68;88;11;8;29;51;0;0;1;119
ESENLER;DAVUTPAﬁA;40342;28;57;226;387;37;20;96;174;1;1;2;1713
ESENLER;FAT›H;40350;41;84;394;837;72;39;190;353;1;1;2;3725
ESENLER;FEVZ› «AKMAK;40345;32;62;263;544;62;34;162;295;0;1;1;2788
ESENLER;HAVAALANI;40354;15;40;224;588;20;11;55;111;0;0;1;1579
ESENLER;KAZIM KARABEK›R;40346;26;52;250;604;51;28;135;252;0;1;1;2463
ESENLER;KEMER;40352;31;64;270;519;42;23;111;205;1;1;2;1938
ESENLER;MENDERES;40347;35;64;266;576;70;39;184;334;0;0;1;2828
ESENLER;M›MAR S›NAN;40341;23;43;162;293;36;20;94;168;0;0;1;1342
ESENLER;NAMIK KEMAL;40344;27;54;199;328;33;19;87;157;1;1;2;1680
ESENLER;N›NE HATUN;40343;49;90;367;735;102;55;267;480;1;0;1;4062
ESENLER;ORU«RE›S;40355;8;28;220;721;11;6;32;74;1;1;2;1249
ESENLER;TUNA;40351;32;74;365;775;47;26;125;238;0;0;1;2474
ESENLER;TURGUT RE›S;40353;7;22;178;633;11;6;31;70;0;0;1;1206
ESENLER;YAVUZ SEL›M;40349;8;15;59;107;10;5;26;47;0;0;0;348
ESENYURT;AK«ABURGAZ;40880;9;44;232;457;8;4;27;62;1;2;4;1166
ESENYURT;AKEVLER;181498;2;6;27;62;6;3;16;33;0;0;1;383
ESENYURT;AKﬁEMSEDD›N;181504;11;34;131;194;12;7;33;63;0;0;1;644
ESENYURT;ARDI«LI;40861;9;34;149;226;9;4;27;54;1;0;1;566
ESENYURT;AﬁIK VEYSEL;181518;5;10;47;174;13;7;36;67;0;0;1;629
ESENYURT;ATAT‹RK;40881;12;45;192;306;12;6;34;70;1;1;2;1078
ESENYURT;BA–LAR«EﬁME;40855;20;62;291;550;38;21;103;201;1;1;2;2579
ESENYURT;BALIKYOLU;181510;19;70;306;509;29;16;81;162;1;1;1;2456
ESENYURT;BARBAROS HAYRETT›N PAﬁA;181488;5;14;47;141;26;13;69;126;1;1;1;1126
ESENYURT;BATTALGAZ›;181526;10;35;168;322;15;8;44;90;0;0;1;1295
ESENYURT;CUMHUR›YET;40865;2;4;12;49;14;7;36;64;0;0;1;524
ESENYURT;«INAR;181514;14;45;224;448;26;14;72;145;0;0;1;2209
ESENYURT;ESENKENT;40862;5;18;96;197;8;3;21;42;0;0;1;637
ESENYURT;FAT›H;40851;20;52;226;428;37;22;102;196;1;1;1;2269
ESENYURT;G÷KEVLER;181490;2;6;22;55;12;5;33;60;0;0;1;325
ESENYURT;G‹ZELYURT;40895;9;24;114;241;19;9;53;102;1;1;2;1172
ESENYURT;H‹RR›YET;181482;17;59;248;424;28;16;82;163;1;1;2;2240
ESENYURT;›NC›RTEPE;40852;23;67;279;471;38;21;105;200;1;1;1;2478
ESENYURT;›N÷N‹;40853;16;50;227;404;31;16;84;162;1;1;1;2201
ESENYURT;›ST›KLAL;40879;12;44;207;403;17;10;49;101;0;1;1;1349
ESENYURT;KOZA;181522;4;13;57;118;4;2;14;26;0;0;1;199
ESENYURT;MEHMET AK›F ERSOY;181494;7;23;114;251;23;12;65;129;0;1;1;1670
ESENYURT;MEHTER«EﬁME;40854;16;49;237;491;42;23;120;240;1;1;2;2813
ESENYURT;MEVLANA;181492;4;9;29;93;22;12;60;107;0;1;1;723
ESENYURT;NAMIK KEMAL;40856;33;77;289;452;40;22;109;201;1;1;2;2307
ESENYURT;NEC›P FAZIL KISAK‹REK;181484;14;49;208;344;22;12;62;123;0;1;1;1687
ESENYURT;ORHAN GAZ›;40863;6;22;103;193;6;3;18;36;1;1;1;698
ESENYURT;OSMANGAZ›;181480;29;117;542;926;25;14;73;153;2;2;4;2628
ESENYURT;÷RNEK;40857;16;53;246;429;22;12;61;122;0;0;1;1580
ESENYURT;PINAR;40864;24;73;341;649;47;27;130;255;1;1;2;3114
ESENYURT;P›R› RE›S;181486;2;6;24;78;13;7;35;65;0;0;1;542
ESENYURT;SAADETDERE;40858;33;78;297;476;45;25;120;223;1;1;2;2280
ESENYURT;SELAHADD›N EYYUB›;181516;12;46;223;439;17;9;51;109;1;1;2;1765
ESENYURT;SULTAN›YE;181508;11;31;145;285;22;12;61;118;0;0;1;1433
ESENYURT;S‹LEYMAN›YE;181512;17;53;261;514;32;18;88;174;1;1;1;2401
ESENYURT;ﬁEH›TLER;181524;11;42;196;350;17;9;48;97;0;0;1;1443
ESENYURT;TALATPAﬁA;40859;16;51;238;460;34;18;93;184;1;1;2;2156
ESENYURT;TURGUT ÷ZAL;181502;19;48;190;329;34;19;93;174;1;1;2;2275
ESENYURT;‹«EVLER;181496;13;40;196;413;30;16;82;163;0;0;1;2031
ESENYURT;YEN›KENT;40860;16;46;217;411;27;15;73;142;0;0;1;1788
ESENYURT;YEﬁ›LKENT;40866;13;41;185;354;36;20;101;199;1;1;3;1799
ESENYURT;YUNUS EMRE;181506;18;58;243;384;28;15;78;149;0;0;1;1948
ESENYURT;ZAFER;181500;7;20;85;172;17;9;47;89;1;1;2;804
EY‹P;AKﬁEMSETT›N;40358;4;18;107;402;3;2;14;38;0;1;1;768
EY‹P;AL›BEYK÷Y;40359;19;49;203;397;9;6;26;52;0;1;1;620
EY‹P;«IR«IR;40360;7;26;148;452;2;1;13;30;0;0;1;701
EY‹P;«›FTALAN;191745;1;3;7;16;0;0;0;0;0;0;0;11
EY‹P;DEFTERDAR;40361;29;59;207;289;15;10;37;70;0;1;1;515
EY‹P;D‹–MEC›LER;40362;14;37;183;340;14;9;39;77;0;0;1;1229
EY‹P;EMN›YETTEPE;40363;10;25;108;240;5;3;15;30;0;0;1;436
EY‹P;ESENTEPE;40364;10;30;137;341;5;4;17;37;0;0;1;822
EY‹P;G÷KT‹RK MERKEZ;40379;15;64;321;745;6;1;31;76;1;1;2;1564
EY‹P;G‹ZELTEPE;40366;16;43;211;532;9;6;29;62;1;1;1;1175
EY‹P;›SLAMBEY;40367;22;54;236;482;16;11;44;87;0;0;1;844
EY‹P;KARADOLAP;40368;12;41;197;524;5;4;21;47;0;0;1;832
EY‹P;MERKEZ;40365;26;53;187;322;15;11;43;79;1;1;1;891
EY‹P;M›MAR S›NAN;40369;5;21;101;197;1;1;5;10;0;0;1;209
EY‹P;M›THATPAﬁA;40370;11;40;180;338;2;2;8;18;1;1;1;324
EY‹P;N›ﬁANCI;40371;24;66;297;492;18;13;50;98;1;1;1;1144
EY‹P;RAM› CUMA;40372;10;26;119;244;11;7;32;61;0;0;0;911
EY‹P;RAM› YEN›;40373;15;36;157;288;11;7;31;60;0;0;1;972
EY‹P;SAKARYA;40374;6;22;101;265;3;2;11;23;0;0;0;349
EY‹P;S›LAHTARA–A;40375;5;17;90;240;3;2;9;20;0;0;0;342
EY‹P;TOP«ULAR;40376;26;62;260;366;9;5;26;50;1;1;2;455
EY‹P;YEﬁ›LPINAR;40378;4;13;83;345;6;3;21;46;0;0;1;727
FAT›H;AKSARAY;99127;81;130;350;510;40;27;103;178;1;1;2;1136
FAT›H;AKﬁEMSETT›N;99137;64;100;320;654;67;41;174;303;1;1;1;2010
FAT›H;AL› KUﬁ«U;99141;49;77;222;389;42;28;111;193;0;0;1;1255
FAT›H;AT›KAL›;99140;45;73;218;375;52;32;134;234;0;0;1;1747
FAT›H;AYVANSARAY;99146;111;214;568;848;56;47;154;275;1;1;2;2164
FAT›H;BALAT;99145;78;144;392;645;51;41;137;246;0;0;1;1618
FAT›H;B›NB›RD›REK;40310;12;22;69;100;3;2;7;13;0;0;1;110
FAT›H;CANKURTARAN;40311;25;53;157;211;4;4;11;20;0;0;1;174
FAT›H;CERRAHPAﬁA;99128;50;76;209;293;41;25;106;182;0;1;1;1086
FAT›H;C›BAL›;99143;42;82;245;365;23;18;63;112;0;0;1;964
FAT›H;DERV›ﬁ AL›;40422;60;114;333;560;49;35;131;233;0;0;1;1856
FAT›H;EM›N S›NAN;40313;13;25;77;115;3;3;9;16;0;0;0;142
FAT›H;HASEK› SULTAN;99129;47;72;208;350;45;27;117;201;0;0;1;1150
FAT›H;HIRKA-› ﬁER›F;99138;78;125;362;596;83;52;217;376;1;1;2;2714
FAT›H;HOCA GIYASETT›N;40316;12;25;72;91;3;2;8;14;0;0;0;106
FAT›H;›SKENDERPAﬁA;40397;41;70;226;487;33;21;88;154;0;1;1;1152
FAT›H;KALENDERHANE;40319;4;9;28;43;1;1;4;7;0;0;0;50
FAT›H;KARAG‹MR‹K;99139;42;70;204;310;41;27;108;187;0;1;1;1194
FAT›H;KAT›P KASIM;40320;29;48;128;181;7;5;18;31;0;0;1;249
FAT›H;KEMALPAﬁA;40318;9;17;60;149;1;1;4;7;0;0;0;36
FAT›H;KOCA MUSTAFAPAﬁA;40390;128;185;456;621;120;78;309;527;1;1;2;2981
FAT›H;K‹«‹K AYASOFYA;40321;27;53;164;232;7;6;20;36;0;0;1;335
FAT›H;MEVLANAKAPI;99134;80;124;330;457;84;54;218;375;1;1;1;2620
FAT›H;M›MAR HAYRETT›N;40324;29;51;151;226;5;4;14;24;0;0;1;91
FAT›H;M›MAR KEMALETT›N;40325;21;35;108;181;2;1;5;8;0;0;1;29
FAT›H;MOLLA G‹RAN›;99136;52;82;251;472;48;29;124;215;0;1;1;1405
FAT›H;MOLLA H‹SREV;40327;6;13;43;63;2;2;6;10;0;0;0;95
FAT›H;MUHS›NE HATUN;40328;19;33;99;153;6;4;16;28;0;0;0;276
FAT›H;N›ﬁANCA;40329;29;51;155;250;12;8;31;55;0;0;1;539
FAT›H;SARA« ›SHAK;40331;13;23;70;107;3;2;9;15;0;0;0;126
FAT›H;SEYY›D ÷MER;40387;77;119;341;572;91;54;236;407;1;1;2;2979
FAT›H;S›L›VR›KAPI;99132;53;83;237;371;66;39;171;294;0;1;1;2012
FAT›H;SULTAN AHMET;40333;17;34;98;124;4;3;10;18;0;0;0;128
FAT›H;S‹LEYMAN›YE;40335;9;20;68;112;1;1;3;6;0;0;0;76
FAT›H;S‹MB‹L EFEND›;99131;56;87;229;310;63;40;164;281;0;1;1;2220
